"Table 4. Electric power industry capacity by primary energy source, 1990 through 2018",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megawatts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Year
2018","Year
2017","Year
2016","Year
2015","Year
2014","Year
2013","Year
2012","Year
2011","Year
2010","Year
2009","Year
2008","Year
2007","Year
2006","Year
2005","Year
2004","Year
2003","Year
2002","Year
2001","Year
2000","Year
1999","Year
1998","Year
1997","Year
1996","Year
1995","Year
1994","Year
1993","Year
1992","Year
1991","Year
1990",Percent share 2000,Percent share 2010,Percent share 2018
Electric utilities,23975.4,22371.2,22327.5,20928.1,22061.5,20601.1,20626.1,19999,19429.5,19130.9,18823.7,18372,18162,18087,17547,17045,15817,15761,15608,15312,15316,15293,14764,14300,13764,14055,14020,13652,13661,79.5,80.6,80.9
Coal,3214,3214,3214,3674,4811,4811,5205,4600.5,4594,4587,4587,4605,4586,4586,4468,4405,4789,4784,4796,5099,5099,5099,5099,5451,4217,4217,4217,4210,4225,24.4,19.1,10.8
Hydroelectric,844.6,844.6,844.6,844.6,844.6,844.6,844.8,844.8,844.8,694.7,655.5,654,650,650,760,759,738,738,742,739,742,740,741,742,764,765,763,765,765,3.8,3.5,2.9
Natural gas,10856.6,9271.6,9238.6,7410,7410,5936.3,5709.3,5710.7,5121.7,5075.7,4896.7,4429,4395,4395,4101,3714,2097,2119,1877,1318,1318,1395,865,995,400,595,336,136,130,9.6,21.2,36.6
..Natural gas - CC,6491.3,4906.3,4873.3,3502.2,3502.2,2030,2030,2030,1441,1419,1419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21.9
..Natural gas - GT,3362.3,3362.3,3362.3,3362.1,3362.1,3360.6,3360.6,3362,3362,3338,3159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,11.3
..Natural gas - ST,1003,1003,1003,545.7,545.7,545.7,318.7,318.7,318.7,318.7,318.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.4
Nuclear,3568,3568,3568,3568,3568,3581.3,3562,3539,3501,3404,3404,3404,3432,3432,3440,3467,3467,3467,3467,3392,3392,3392,3392,3392,3349,3349,3349,3382,3382,17.7,14.5,12
Other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,206,206,206,129,129,0,0,0,257,62,62,1,0,0
Other biomass,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleum,1953,1955.6,1960.7,1953.5,1949.9,1949.9,1980,1980,2044,2045.5,2036.5,2037,2023,2027,2078,2061,2081,2180,2176,2214,2214,2193,2193,1375,2690,2785,2753,2753,2752,11.1,8.5,6.6
..Petroleum - GT,273,273,275.1,275.1,275.1,275.1,275.1,275.1,339.1,339.1,339.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0.9
..Petroleum - IC,104,106.6,109.6,102.4,98.8,98.8,100.9,100.9,100.9,102.4,93.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4
..Petroleum - ST,1576,1576,1576,1576,1576,1576,1604,1604,1604,1604,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,5.3
Pumped storage,3241,3241,3241,3241,3241,3241,3241,3241,3241,3241,3161,3161,2997,2917,2700,2638,2645,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,11.9,13.4,10.9
Solar,61.2,39.4,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
..Solar- PV,61.2,39.4,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Wood,236,236,236,236,236,236,83,83,83,83,83,83,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.8
IPP and CHP,5659.4,5288.9,4294.1,4253.5,4230.9,4226.7,4222.5,4685.9,4679.5,4657.1,4651.9,4620,4486,4513,4934,4127,4386,4325,4017,3415,3434,3439,3609,3328,3332,2983,2913,1835,1404,20.5,19.4,19.1
Coal,566,564,586.4,705.3,730.9,743.1,771.3,1247.6,1273.9,1190.2,1186.4,1189,1188,1197,1327,1328,1328,1353,1589,1106,1122,1150,1119,925,894,894,913,462,373,8.1,5.3,1.9
Hydroelectric,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.2,21.2,21,21,22,22,21,20,20,20,20,22,22,22,22,22,22,18,18,13,0.1,0.1,0.1
Natural gas,3695.4,3349.8,2561.6,2483.2,2345,2334.4,2458.3,2451.9,2458.9,2460.1,2454.1,2440,2414,2433,2654,1844,2094,1589,1649,1638,1637,832,1805,1805,1805,1544,1474,698,531,8.4,10.2,12.5
..Natural gas - CC,2742.1,2752.6,1986.8,1912.2,1816.2,1816.2,1939.3,1932.9,1939.9,1948.2,1948.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9.3
..Natural gas - GT,883,532,532,532,517,517,517,517,517,509.9,503.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,3
..Natural gas - IC,1.3,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..Natural gas - ST,69,63.9,41.5,39,11.8,1.2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
Other,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,0,432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other biomass,313.3,313.3,313.3,311.7,305.1,302.4,302.4,294.6,289.7,277.7,269.3,254,170,168,168,168,168,168,219,210,212,218,218,163,163,159,153,150,147,1.1,1.2,1.1
Petroleum,389.9,391,389.3,389.8,390.4,387.3,388.7,390,387.7,381.8,381.8,381,363,363,359,361,361,361,186,17,17,823,17,15,15,15,6,159,0,0.9,1.6,1.3
..Petroleum - GT,351.5,352.6,350.9,351.4,352,348.9,347.3,348.6,345.1,338,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.2
..Petroleum - IC,38.4,38.4,38.4,38.4,38.4,38.4,41.4,41.4,42.6,43.8,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1
Solar,331.3,307.3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
..Solar- PV,331.3,307.3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1
Wood,342.1,342.1,342.1,342.1,342.1,342.1,280.4,280.4,247.9,326.1,339.1,335,330,330,404,404,414,402,354,424,424,396,429,399,433,349,349,349,340,1.8,1,1.2
Total electric industry,29634.8,27660.1,26621.6,25181.6,26292.4,24827.8,24848.6,24684.9,24109,23788,23475.6,22992,22648,22599,22481,21171,20202,20086,19625,18727,18749,18732,18373,17627,17096,17038,16933,15488,15065,100,100,100
Coal,3780,3778,3800.4,4379.3,5541.9,5554.1,5976.3,5848.1,5867.9,5777.2,5773.4,5794,5774,5783,5795,5733,6117,6137,6385,6205,6221,6249,6218,6376,5111,5111,5130,4672,4598,32.5,24.3,12.8
Hydroelectric,866,866,866,866,866,866,866.2,866.2,866.2,715.9,676.7,675,671,672,782,780,757,758,762,759,764,761,762,763,786,787,781,782,778,3.9,3.6,2.9
Natural gas,14552,12621.4,11800.2,9893.2,9755,8270.7,8167.6,8162.6,7580.6,7535.8,7350.8,6869,6809,6828,6754,5558,4191,3707,3526,2955,2955,2226,2670,2800,2205,2139,1810,833,661,18,31.4,49.1
..Natural gas - CC,9233.4,7658.9,6860.1,5414.4,5318.4,3846.2,3969.3,3962.9,3380.9,3367.2,3367.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31.2
..Natural gas - GT,4245.3,3894.3,3894.3,3894.1,3879.1,3877.6,3877.6,3879,3879,3847.9,3662.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1,14.3
..Natural gas - IC,1.3,1.3,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
..Natural gas - ST,1072,1066.9,1044.5,584.7,557.5,546.9,320.7,320.7,320.7,320.7,320.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,3.6
Nuclear,3568,3568,3568,3568,3568,3581.3,3562,3539,3501,3404,3404,3404,3432,3432,3440,3467,3467,3467,3467,3392,3392,3392,3392,3392,3349,3349,3349,3382,3382,17.7,14.5,12
Other,0,0,0,0,96,96,0,0,0,0,0,0,0,0,0,0,0,561,206,206,206,129,129,0,0,0,257,62,62,1,0,0
Other biomass,314.3,314.3,314.3,312.7,306.1,303.4,303.4,294.6,289.7,277.7,269.3,254,170,168,168,168,168,168,219,210,212,218,218,163,163,159,153,150,147,1.1,1.2,1.1
Petroleum,2342.9,2346.6,2350,2343.3,2340.3,2337.2,2368.7,2370,2431.7,2427.3,2418.3,2418,2386,2390,2437,2422,2442,2541,2362,2231,2231,3016,2210,1390,2705,2799,2759,2912,2752,12,10.1,7.9
..Petroleum - GT,624.5,625.6,626,626.5,627.1,624,622.4,623.7,684.2,677.1,677.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8,2.1
..Petroleum - IC,142.4,145,148,140.8,137.2,137.2,142.3,142.3,143.5,146.2,137.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.5
..Petroleum - ST,1576,1576,1576,1576,1576,1576,1604,1604,1604,1604,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,5.3
Pumped storage,3241,3241,3241,3241,3241,3241,3241,3241,3241,3241,3161,3161,2997,2917,2700,2638,2645,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,2345,11.9,13.4,10.9
Solar,392.5,346.7,103.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
..Solar- PV,392.5,346.7,103.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
Wood,578.1,578.1,578.1,578.1,578.1,578.1,363.4,363.4,330.9,409.1,422.1,418,410,409,404,404,414,402,354,424,424,396,429,399,433,349,349,349,340,1.8,1.4,2
"Other biomass includes agricultural byproducts, landfill gas, biogenic municipal solid waste, other biomass (solid, liquid and gas) and sludge waste.
Other gases includes blast furnace gas, and other manufactured and waste gases derived from fossil fuels.
Other includes non-biogenic municipal solid waste, batteries, chemicals, hydrogen, pitch, purchased steam, sulfur, tire-derived fuels, waste heat and miscellaneous technologies.
Source: U.S. Energy Information Administration, Form EIA-860, Annual Electric Generator Report.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
