Plant Name,Unit Name,ORISPL (Plant Code),GATS Unit ID,PJM Unit?,State,County,Balancing Authority,Nameplate,Date Online,Primary Fuel Type,Secondary,Tertiary,Quaternary,Fifth,Sixth,Seventh,Eighth,New Jersey,Maryland,Pennsylvania,District of Columbia,Delaware,Illinois,Ohio,Virginia,EFEC Eligible
109 Grand View Drive,S. Hughes,,NON41365,,VA,Hampton City,PJM Interconnection,0.0046,12/1/09,SUN,,,,,,,,,,PA-46074-NSTI-I,DC-10607-SUN-I,,,,VA-005328-SUN,
135 Overlook,135 Overlook,,NON97399,,VA,Albemarle County,PJM Interconnection,0.00896,12/1/14,SUN,,,,,,,,,,PA-46935-NSTI-I,,,,,VA-054258-SUN,
14520 Dowden Downs Drive Trust,14520 Dowden Downs Drive Trust,,NON43275,,VA,Prince William County,PJM Interconnection,0.0073,5/1/10,SUN,,,,,,,,,,PA-46120-NSTI-I,DC-101076-SUN-I,,,,,
201014,VA,,NON199278,,VA,Loudoun County,PJM Interconnection,0.00585,9/1/17,SUN,,,,,,,,,,PA-462010-NSTI-I,,,,,VA-150113-SUN,
201015,VA,,NON180238,,VA,Fairfax County,PJM Interconnection,0.00567,3/1/17,SUN,,,,,,,,,,PA-461906-NSTI-I,,,,,VA-130932-SUN,
201016,VA,,NON182929,,VA,Fairfax County,PJM Interconnection,0.00532,4/1/17,SUN,,,,,,,,,,PA-461929-NSTI-I,,,,,VA-134401-SUN,
201026,VA,,NON189623,,VA,Fairfax City,PJM Interconnection,0.0108,6/1/17,SUN,,,,,,,,,,PA-461955-NSTI-I,,,,,VA-140934-SUN,
201037,VA,,NON193497,,VA,Fairfax County,PJM Interconnection,0.0102,7/1/17,SUN,,,,,,,,,,PA-461980-NSTI-I,,,,,VA-144563-SUN,
201042,VA,,NON194183,,VA,Loudoun County,PJM Interconnection,0.006,6/1/17,SUN,,,,,,,,,,PA-461982-NSTI-I,,,,,VA-147811-SUN,
201043,VA,,NON192767,,VA,Loudoun County,PJM Interconnection,0.0114,6/1/17,SUN,,,,,,,,,,PA-461977-NSTI-I,,,,,VA-145256-SUN,
201047,VA,,NON204785,,VA,Loudoun County,PJM Interconnection,0.0096,8/1/17,SUN,,,,,,,,,,PA-462074-NSTI-I,,,,,VA-155305-SUN,
201051,VA,,NON221480,,VA,Loudoun County,PJM Interconnection,0.0066,1/1/18,SUN,,,,,,,,,,PA-462109-NSTI-I,,,,,VA-171117-SUN,
201059,VA,,NON221664,,VA,Loudoun County,PJM Interconnection,0.00293,10/1/17,SUN,,,,,,,,,,PA-462120-NSTI-I,,,,,VA-171906-SUN,
201060,VA,,NON201006,,VA,Loudoun County,PJM Interconnection,0.0099,10/1/17,SUN,,,,,,,,,,PA-462038-NSTI-I,,,,,VA-151680-SUN,
201075,VA,,NON221419,,VA,Loudoun County,PJM Interconnection,0.0072,1/1/18,SUN,,,,,,,,,,PA-462113-NSTI-I,,,,,VA-171018-SUN,
201076,VA,,NON221113,,VA,Loudoun County,PJM Interconnection,0.0195,2/1/18,SUN,,,,,,,,,,PA-462106-NSTI-I,,,,,VA-170739-SUN,
201078,VA,,NON221094,,VA,Fairfax County,PJM Interconnection,0.00975,3/1/18,SUN,,,,,,,,,,PA-462099-NSTI-I,,,,,VA-170722-SUN,
201079,VA,,NON221043,,VA,Fairfax County,PJM Interconnection,0.00488,3/1/18,SUN,,,,,,,,,,PA-462089-NSTI-I,,,,,VA-170688-SUN,
201080,VA,,NON221108,,VA,Fairfax County,PJM Interconnection,0.01229,2/1/18,SUN,,,,,,,,,,PA-462101-NSTI-I,,,,,VA-170734-SUN,
201088,VA,,NON220908,,VA,Loudoun County,PJM Interconnection,0.00358,3/1/18,SUN,,,,,,,,,,PA-462085-NSTI-I,,,,,VA-170509-SUN,
220004,VA,,NON221666,,VA,Fairfax County,PJM Interconnection,0.00683,12/1/17,SUN,,,,,,,,,,PA-462121-NSTI-I,,,,,VA-171250-SUN,
220009,VA,,NON221655,,VA,Fairfax County,PJM Interconnection,0.00977,11/1/17,SUN,,,,,,,,,,PA-462144-NSTI-I,,,,,VA-171243-SUN,
220013,VA,,NON191133,,VA,Fairfax County,PJM Interconnection,0.00977,5/1/17,SUN,,,,,,,,,,PA-461968-NSTI-I,,,,,VA-143262-SUN,
220016,VA,,NON195577,,VA,Fairfax County,PJM Interconnection,0.0104,8/1/17,SUN,,,,,,,,,,PA-461988-NSTI-I,,,,,VA-147098-SUN,
220026,VA,,NON221660,,VA,Fairfax County,PJM Interconnection,0.01008,12/1/17,SUN,,,,,,,,,,PA-462118-NSTI-I,,,,,VA-171246-SUN,
220029,VA,,NON199284,,VA,Fairfax County,PJM Interconnection,0.0051,9/1/17,SUN,,,,,,,,,,PA-462011-NSTI-I,,,,,VA-150118-SUN,
220039,VA,,NON200433,,VA,Fairfax County,PJM Interconnection,0.0096,9/1/17,SUN,,,,,,,,,,PA-462030-NSTI-I,,,,,VA-151083-SUN,
220046,VA,,NON200972,,VA,Fairfax County,PJM Interconnection,0.00683,9/1/17,SUN,,,,,,,,,,PA-462042-NSTI-I,,,,,VA-153477-SUN,
220047,VA,,NON221055,,VA,Fairfax County,PJM Interconnection,0.0117,4/1/18,SUN,,,,,,,,,,PA-462086-NSTI-I,,,,,VA-170696-SUN,
220050,VA,,NON200320,,VA,Fairfax City,PJM Interconnection,0.0066,9/1/17,SUN,,,,,,,,,,PA-462022-NSTI-I,,,,,VA-151009-SUN,
220054,VA,,NON221662,,VA,Fairfax County,PJM Interconnection,0.0111,11/1/17,SUN,,,,,,,,,,PA-462142-NSTI-I,,,,,VA-171248-SUN,
220056,VA,,NON221414,,VA,Fairfax County,PJM Interconnection,0.0138,1/1/18,SUN,,,,,,,,,,PA-462111-NSTI-I,,,,,VA-171014-SUN,
220062,VA,,NON221098,,VA,Fairfax County,PJM Interconnection,0.01333,2/1/18,SUN,,,,,,,,,,PA-462100-NSTI-I,,,,,VA-170726-SUN,
220066,VA,,NON221002,,VA,Prince William County,PJM Interconnection,0.0052,4/1/18,SUN,,,,,,,,,,PA-462087-NSTI-I,,,,,VA-170664-SUN,
221016,VA,,NON185481,,VA,Fairfax County,PJM Interconnection,0.00952,5/1/17,SUN,,,,,,,,,,PA-461938-NSTI-I,,,,,VA-135701-SUN,
221019,VA,,NON194607,,VA,Fairfax City,PJM Interconnection,0.0104,5/1/17,SUN,,,,,,,,,,PA-461985-NSTI-I,,,,,VA-145606-SUN,
221032,VA,,NON185903,,VA,Fairfax County,PJM Interconnection,0.0048,4/1/17,SUN,,,,,,,,,,PA-461942-NSTI-I,,,,,VA-136636-SUN,
221044,VA,,NON190183,,VA,Fairfax City,PJM Interconnection,0.0069,5/1/17,SUN,,,,,,,,,,PA-461961-NSTI-I,,,,,VA-141926-SUN,
221046,VA,,NON196990,,VA,Fairfax County,PJM Interconnection,0.0102,8/1/17,SUN,,,,,,,,,,PA-461999-NSTI-I,,,,,VA-148103-SUN,
221047,VA,,NON204398,,VA,Fairfax County,PJM Interconnection,0.0084,8/1/17,SUN,,,,,,,,,,PA-462072-NSTI-I,,,,,VA-154908-SUN,
222014,VA,,NON194482,,VA,Arlington County,PJM Interconnection,0.00567,6/1/17,SUN,,,,,,,,,,PA-461984-NSTI-I,,,,,VA-145403-SUN,
222022,VA,,NON190069,,VA,Arlington County,PJM Interconnection,0.0104,6/1/17,SUN,,,,,,,,,,PA-461959-NSTI-I,,,,,VA-141352-SUN,
222033,VA,,NON202123,,VA,Arlington County,PJM Interconnection,0.00358,10/1/17,SUN,,,,,,,,,,PA-462054-NSTI-I,,,,,VA-152724-SUN,
222035,VA,,NON220907,,VA,Arlington County,PJM Interconnection,0.009,4/1/18,SUN,,,,,,,,,,PA-462084-NSTI-I,,,,,VA-170508-SUN,
223011,VA,,NON189768,,VA,Alexandria City,PJM Interconnection,0.0098,5/1/17,SUN,,,,,,,,,,PA-461956-NSTI-I,,,,,VA-140938-SUN,
223013,VA,,NON190750,,VA,Fairfax County,PJM Interconnection,0.0111,6/1/17,SUN,,,,,,,,,,PA-461966-NSTI-I,,,,,VA-141995-SUN,
223020,VA,,NON220964,,VA,Fairfax County,PJM Interconnection,0.00325,12/1/17,SUN,,,,,,,,,,PA-462122-NSTI-I,,,,,VA-170528-SUN,
223022,VA,,NON203655,,VA,Fairfax County,PJM Interconnection,0.00618,11/1/17,SUN,,,,,,,,,,PA-462062-NSTI-I,,,,,VA-154186-SUN,
223024,VA,,NON201308,,VA,Fairfax County,PJM Interconnection,0.0087,10/1/17,SUN,,,,,,,,,,PA-462045-NSTI-I,,,,,VA-151892-SUN,
223025,VA,,NON220963,,VA,Fairfax County,PJM Interconnection,0.00683,12/1/17,SUN,,,,,,,,,,PA-462143-NSTI-I,,,,,VA-170527-SUN,
223028,VA,,NON220962,,VA,Fairfax County,PJM Interconnection,0.0084,12/1/17,SUN,,,,,,,,,,PA-462119-NSTI-I,,,,,VA-170526-SUN,
223031,VA,,NON220961,,VA,Fairfax County,PJM Interconnection,0.00618,3/1/18,SUN,,,,,,,,,,PA-462098-NSTI-I,,,,,VA-170525-SUN,
223036,VA,,NON220960,,VA,Fairfax County,PJM Interconnection,0.0045,4/1/18,SUN,,,,,,,,,,PA-462079-NSTI-I,,,,,VA-170524-SUN,
224005,VA,,NON203694,,VA,Stafford County,PJM Interconnection,0.006,11/1/17,SUN,,,,,,,,,,PA-462060-NSTI-I,,,,,VA-154212-SUN,
224006,VA,,NON220959,,VA,Stafford County,PJM Interconnection,0.00585,12/1/17,SUN,,,,,,,,,,PA-462091-NSTI-I,,,,,VA-170523-SUN,
224007,VA,,NON220958,,VA,Spotsylvania County,PJM Interconnection,0.0033,1/1/18,SUN,,,,,,,,,,PA-462110-NSTI-I,,,,,VA-170522-SUN,
224009,VA,,NON220957,,VA,Stafford County,PJM Interconnection,0.0117,4/1/18,SUN,,,,,,,,,,PA-462088-NSTI-I,,,,,VA-170521-SUN,
225009,VA,,NON200428,,VA,Stafford County,PJM Interconnection,0.0102,9/1/17,SUN,,,,,,,,,,PA-462025-NSTI-I,,,,,VA-151234-SUN,
225010,VA,,NON200658,,VA,Stafford County,PJM Interconnection,0.00975,10/1/17,SUN,,,,,,,,,,PA-462035-NSTI-I,,,,,VA-151287-SUN,
225013,VA,,NON220956,,VA,Stafford County,PJM Interconnection,0.00488,2/1/18,SUN,,,,,,,,,,PA-462082-NSTI-I,,,,,VA-170520-SUN,
225016,VA,,NON220955,,VA,Richmond County,PJM Interconnection,0.0066,3/1/18,SUN,,,,,,,,,,PA-462083-NSTI-I,,,,,VA-170519-SUN,
232004,VA,,NON245023,,VA,Richmond City,PJM Interconnection,0.18135,3/1/19,SUN,,,,,,,,,,,,,,,VA-192172-SUN,
244001,VA,,NON242490,,VA,Rockbridge County,PJM Interconnection,0.07037,10/1/18,SUN,,,,,,,,,,,,,,,VA-193541-SUN,
2947 Boyer Road,Fort Valley,,NON54881,,VA,Shenandoah County,PJM Interconnection,0.00912,6/1/11,SUN,,,,,,,,,,PA-46497-NSTI-I,,,,,VA-016040-SUN,
59 Stafford Indians Ln,59 Stafford Indians Ln,,NON106852,,VA,Stafford County,PJM Interconnection,0.0095,6/1/15,SUN,,,,,,,,,,PA-461143-NSTI-I,,,,,VA-062763-SUN,
6800 Plank Rd.,R Crisler,,NON63917,,VA,Albemarle County,PJM Interconnection,0.00624,4/1/12,SUN,,,,,,,,,,PA-46633-NSTI-I,,,,,,
804 Petra Pass STH,G. Lewis,,NON43397,,VA,Montgomery County,PJM Interconnection,0.0026,3/1/10,STH,,,,,,,,,,,DC-101023-STH-I,,,,,
"Aagaard, Leif Residence",L Aagaard,,NON88807,,VA,Amherst County,PJM Interconnection,0.00756,8/1/14,SUN,,,,,,,,,,PA-46840-NSTI-I,,,,,VA-045753-SUN,
"Aagaard, Peter Residence",P Aagaard,,NON108833,,VA,Nelson County,PJM Interconnection,0.00513,7/1/15,SUN,,,,,,,,,,PA-461129-NSTI-I,,,,,VA-065987-SUN,
"Aaron, Phillip Residence",P Aaron,,NON121161,,VA,Henry County,PJM Interconnection,0.00795,11/1/14,SUN,,,,,,,,,,PA-461328-NSTI-I,,,,,,
ABeisser SolarPV,Residence,,NON58516,,VA,Bedford County,PJM Interconnection,0.0057,12/1/11,SUN,,,,,,,,,,PA-46587-NSTI-I,,,,,VA-019132-SUN,
Abel-Jennifer-VA-PV-2.616kw Residence,Abel-Jennifer-VA-PV-2.616kw Residence,,NON160315,,VA,Arlington County,PJM Interconnection,0.00262,11/1/16,SUN,,,,,,,,,,PA-461740-NSTI-I,,,,,,
Abott Residence,Abott Residence,,NON39573,,VA,Albemarle County,PJM Interconnection,0.00473,6/1/09,SUN,,,,,,,,,,PA-46166-NSTI-I,DC-09208-SUN-I,,,,,
"Abrash, Nicholas Residence Pv",Unit # 1,,NON103426,,VA,Fairfax County,PJM Interconnection,0.0022,6/1/15,SUN,,,,,,,,,,PA-461073-NSTI-I,,,,,VA-059422-SUN,
Ackerman-Donna-VA-PV-2.75kW Residence,Ackerman-Donna-VA-PV-2.75kW Residence,,NON91417,,VA,Albemarle County,PJM Interconnection,0.00275,9/1/14,SUN,,,,,,,,,,PA-46877-NSTI-I,,,,,VA-049175-SUN,
"Ackermann, Ernest Residence",E Ackermann,,NON115162,,VA,Stafford County,PJM Interconnection,0.00392,12/1/15,SUN,,,,,,,,,,PA-500010-NSTI-I,,,,,,
"Adams, Harold Residence",H Adams,,NON89359,,VA,Chesterfield County,PJM Interconnection,0.00324,9/1/14,SUN,,,,,,,,,,PA-46854-NSTI-I,,,,,VA-046230-SUN,
"Adams, James Residence",J Adams,,NON124469,,VA,Albemarle County,PJM Interconnection,0.00754,1/1/16,SUN,,,,,,,,,,PA-461414-NSTI-I,,,,,,
