"Table 2B. Ten largest plants by generation, 2018",,,,
Virginia,,,,
,Plant,Primary energy source,Operating company,Generation (MWh)
1,North Anna,Nuclear,Virginia Electric & Power Co,16034822
2,Surry,Nuclear,Virginia Electric & Power Co,13219137
3,Brunswick County Power Station,Natural gas,Virginia Electric & Power Co,8439453
4,Warren County,Natural gas,Virginia Electric & Power Co,8203122
5,Tenaska Virginia Generating Station,Natural gas,Tenaska Virginia Partners LP,5771750
6,Chesterfield,Natural gas,Virginia Electric & Power Co,5099838
7,Stonewall,Natural gas,Green Energy Partners LLC,4868251
8,Doswell Energy Center,Natural gas,Doswell Ltd Partnership,4858224
9,Bear Garden,Natural gas,Virginia Electric & Power Co,4012754
10,Possum Point,Natural gas,Virginia Electric & Power Co,3723249
"Source: U.S. Energy Information Administration, Form EIA-923, Power Plant Operations Report and predecessor forms.",,,,
